timestamp,category,name,slug,version_id,version_number,version_type,file_name,file_url,dest_path,status,message
2025-12-23T20:08:11.623531+00:00,server,Immersive Engineering,immersiveengineering,WUzj4tgJ,10.2.0-183,release,ImmersiveEngineering-1.20.1-10.2.0-183.jar,https://cdn.modrinth.com/data/tIm2nV03/versions/WUzj4tgJ/ImmersiveEngineering-1.20.1-10.2.0-183.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\ImmersiveEngineering-1.20.1-10.2.0-183.jar,skipped,file exists
2025-12-23T20:08:16.748886+00:00,server,Applied Energistics 2,ae2,7KVs6HMQ,15.4.10,release,appliedenergistics2-forge-15.4.10.jar,https://cdn.modrinth.com/data/XxWD5pD3/versions/7KVs6HMQ/appliedenergistics2-forge-15.4.10.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\appliedenergistics2-forge-15.4.10.jar,skipped,file exists
2025-12-23T20:08:18.999927+00:00,server,Industrial Upgrade,industrialupgrade,RZ5ZTahf,3.3.2.26,release,IndustrialUpgrade-1.20.1-3.3.2.26.jar,https://cdn.modrinth.com/data/uWvWTs7C/versions/RZ5ZTahf/IndustrialUpgrade-1.20.1-3.3.2.26.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\IndustrialUpgrade-1.20.1-3.3.2.26.jar,skipped,file exists
2025-12-23T20:08:19.781285+00:00,server,Ad Astra,ad-astra,Qf7QFXk2,1.15.20,release,ad_astra-forge-1.20.1-1.15.20.jar,https://cdn.modrinth.com/data/3ufwT9JF/versions/Qf7QFXk2/ad_astra-forge-1.20.1-1.15.20.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\ad_astra-forge-1.20.1-1.15.20.jar,skipped,file exists
2025-12-23T20:10:43.297375+00:00,server,Industrial Upgrade,industrialupgrade,RZ5ZTahf,3.3.2.26,release,IndustrialUpgrade-1.20.1-3.3.2.26.jar,https://cdn.modrinth.com/data/uWvWTs7C/versions/RZ5ZTahf/IndustrialUpgrade-1.20.1-3.3.2.26.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\IndustrialUpgrade-1.20.1-3.3.2.26.jar,downloaded,
2025-12-23T20:10:44.048200+00:00,server,Ad Astra,ad-astra,Qf7QFXk2,1.15.20,release,ad_astra-forge-1.20.1-1.15.20.jar,https://cdn.modrinth.com/data/3ufwT9JF/versions/Qf7QFXk2/ad_astra-forge-1.20.1-1.15.20.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\ad_astra-forge-1.20.1-1.15.20.jar,skipped,file exists
2025-12-23T20:10:49.898545+00:00,server,Superb Warfare,superb-warfare,DdiwkiSV,0.8.8,release,superbwarfare-1.20.1-0.8.8-final-6a6b54795.jar,https://cdn.modrinth.com/data/Cd3DYqzn/versions/DdiwkiSV/superbwarfare-1.20.1-0.8.8-final-6a6b54795.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\superbwarfare-1.20.1-0.8.8-final-6a6b54795.jar,skipped,file exists
2025-12-23T20:10:50.529663+00:00,server,Architectury API,architectury-api,1MKTLiiG,9.2.14+forge,release,architectury-9.2.14-forge.jar,https://cdn.modrinth.com/data/lhGA9TYQ/versions/1MKTLiiG/architectury-9.2.14-forge.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\architectury-9.2.14-forge.jar,skipped,file exists
2025-12-23T20:10:51.080264+00:00,server,Botarium,botarium,O7D6FTfW,2.3.4,release,botarium-forge-1.20.1-2.3.4.jar,https://cdn.modrinth.com/data/2u6LRnMa/versions/O7D6FTfW/botarium-forge-1.20.1-2.3.4.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\botarium-forge-1.20.1-2.3.4.jar,skipped,file exists
2025-12-23T20:10:56.623689+00:00,server,Resourceful Lib,resourceful-lib,OhsHaCcW,2.1.29,release,resourcefullib-forge-1.20.1-2.1.29.jar,https://cdn.modrinth.com/data/G1hIVOrD/versions/OhsHaCcW/resourcefullib-forge-1.20.1-2.1.29.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\resourcefullib-forge-1.20.1-2.1.29.jar,skipped,file exists
2025-12-23T20:10:57.204792+00:00,server,Resourceful Config,resourceful-config,irREd1ZJ,2.1.2,release,resourcefulconfig-forge-1.20.1-2.1.2.jar,https://cdn.modrinth.com/data/M1953qlQ/versions/irREd1ZJ/resourcefulconfig-forge-1.20.1-2.1.2.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\resourcefulconfig-forge-1.20.1-2.1.2.jar,skipped,file exists
2025-12-23T20:10:57.752370+00:00,server,Advanced Mining Dimension,advanced-mining-dimension,opIBLugU,forge-1.20.1-1.0.4,beta,mining_dimension-1.20.1-1.0.4.jar,https://cdn.modrinth.com/data/XRETyQl3/versions/opIBLugU/mining_dimension-1.20.1-1.0.4.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\mining_dimension-1.20.1-1.0.4.jar,skipped,file exists
2025-12-23T20:10:58.318624+00:00,server,Terralith,terralith,WeYhEb5d,2.5.4,release,Terralith_1.20.x_v2.5.4.jar,https://cdn.modrinth.com/data/8oi3bsk5/versions/WeYhEb5d/Terralith_1.20.x_v2.5.4.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\Terralith_1.20.x_v2.5.4.jar,skipped,file exists
2025-12-23T20:11:02.611626+00:00,server,Sophisticated Backpacks,sophisticated-backpacks,42UJwscj,1.20.1-3.24.16.1471,release,sophisticatedbackpacks-1.20.1-3.24.16.1471.jar,https://cdn.modrinth.com/data/TyCTlI4b/versions/42UJwscj/sophisticatedbackpacks-1.20.1-3.24.16.1471.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\sophisticatedbackpacks-1.20.1-3.24.16.1471.jar,downloaded,
2025-12-23T20:11:11.565860+00:00,server,Sophisticated Core,sophisticated-core,2lGfcQtA,1.20.1-1.2.115.1333,release,sophisticatedcore-1.20.1-1.2.115.1333.jar,https://cdn.modrinth.com/data/nmoqTijg/versions/2lGfcQtA/sophisticatedcore-1.20.1-1.2.115.1333.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\sophisticatedcore-1.20.1-1.2.115.1333.jar,downloaded,
2025-12-23T20:11:21.262020+00:00,server,Superb Warfare,superb-warfare,DdiwkiSV,0.8.8,release,superbwarfare-1.20.1-0.8.8-final-6a6b54795.jar,https://cdn.modrinth.com/data/Cd3DYqzn/versions/DdiwkiSV/superbwarfare-1.20.1-0.8.8-final-6a6b54795.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\superbwarfare-1.20.1-0.8.8-final-6a6b54795.jar,downloaded,
2025-12-23T20:11:21.934316+00:00,server,Architectury API,architectury-api,1MKTLiiG,9.2.14+forge,release,architectury-9.2.14-forge.jar,https://cdn.modrinth.com/data/lhGA9TYQ/versions/1MKTLiiG/architectury-9.2.14-forge.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\architectury-9.2.14-forge.jar,skipped,file exists
2025-12-23T20:11:22.323628+00:00,server,Sophisticated Storage,sophisticated-storage,fwpNhz3j,1.20.1-1.4.17.1406,release,sophisticatedstorage-1.20.1-1.4.17.1406.jar,https://cdn.modrinth.com/data/hMlaZH8f/versions/fwpNhz3j/sophisticatedstorage-1.20.1-1.4.17.1406.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\sophisticatedstorage-1.20.1-1.4.17.1406.jar,downloaded,
2025-12-23T20:11:22.457540+00:00,server,Botarium,botarium,O7D6FTfW,2.3.4,release,botarium-forge-1.20.1-2.3.4.jar,https://cdn.modrinth.com/data/2u6LRnMa/versions/O7D6FTfW/botarium-forge-1.20.1-2.3.4.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\botarium-forge-1.20.1-2.3.4.jar,skipped,file exists
2025-12-23T20:11:25.184842+00:00,server,Resourceful Lib,resourceful-lib,OhsHaCcW,2.1.29,release,resourcefullib-forge-1.20.1-2.1.29.jar,https://cdn.modrinth.com/data/G1hIVOrD/versions/OhsHaCcW/resourcefullib-forge-1.20.1-2.1.29.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\resourcefullib-forge-1.20.1-2.1.29.jar,skipped,file exists
2025-12-23T20:11:31.713497+00:00,server,Resourceful Config,resourceful-config,irREd1ZJ,2.1.2,release,resourcefulconfig-forge-1.20.1-2.1.2.jar,https://cdn.modrinth.com/data/M1953qlQ/versions/irREd1ZJ/resourcefulconfig-forge-1.20.1-2.1.2.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\resourcefulconfig-forge-1.20.1-2.1.2.jar,skipped,file exists
2025-12-23T20:11:33.010893+00:00,server,FallingTree,fallingtree,NrtzFkZE,1.20.1-4.3.4,release,FallingTree-1.20.1-4.3.4.jar,https://cdn.modrinth.com/data/Fb4jn8m6/versions/NrtzFkZE/FallingTree-1.20.1-4.3.4.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\FallingTree-1.20.1-4.3.4.jar,downloaded,
2025-12-23T20:11:37.914072+00:00,server,Advanced Mining Dimension,advanced-mining-dimension,opIBLugU,forge-1.20.1-1.0.4,beta,mining_dimension-1.20.1-1.0.4.jar,https://cdn.modrinth.com/data/XRETyQl3/versions/opIBLugU/mining_dimension-1.20.1-1.0.4.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\mining_dimension-1.20.1-1.0.4.jar,skipped,file exists
2025-12-23T20:11:38.430911+00:00,server,Terralith,terralith,WeYhEb5d,2.5.4,release,Terralith_1.20.x_v2.5.4.jar,https://cdn.modrinth.com/data/8oi3bsk5/versions/WeYhEb5d/Terralith_1.20.x_v2.5.4.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\Terralith_1.20.x_v2.5.4.jar,skipped,file exists
2025-12-23T20:11:38.713267+00:00,server,Ore Excavation,ore-excavation,Rh4rH5QS,1.13.170,release,oreexcavation-1.13.170.jar,https://cdn.modrinth.com/data/ODQeqCgz/versions/Rh4rH5QS/oreexcavation-1.13.170.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\oreexcavation-1.13.170.jar,downloaded,
2025-12-23T20:11:38.994784+00:00,server,Sophisticated Backpacks,sophisticated-backpacks,42UJwscj,1.20.1-3.24.16.1471,release,sophisticatedbackpacks-1.20.1-3.24.16.1471.jar,https://cdn.modrinth.com/data/TyCTlI4b/versions/42UJwscj/sophisticatedbackpacks-1.20.1-3.24.16.1471.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\sophisticatedbackpacks-1.20.1-3.24.16.1471.jar,skipped,file exists
2025-12-23T20:11:39.309743+00:00,server,Curios API,curios,IPQlZkz1,5.14.1+1.20.1,release,curios-forge-5.14.1+1.20.1.jar,https://cdn.modrinth.com/data/vvuO3ImH/versions/IPQlZkz1/curios-forge-5.14.1%2B1.20.1.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\server\curios-forge-5.14.1+1.20.1.jar,skipped,file exists
